date,spring_baseline,spring_strict_home_office_continue_testing,spring_strict_home_office_reduce_testing,spring_normal_home_office_reduce_testing
2021-04-08,250.6911270704185,249.17420280674082,250.63294957735133,252.68855433239173
2021-04-09,251.94732997627654,249.74520412758548,251.7081558381115,254.89283490304828
2021-04-10,251.04450147275242,249.16989336280994,251.20826034212683,254.6084116036087
2021-04-11,247.91584517891732,245.66631544698635,248.15717403904796,252.32440632023045
2021-04-12,245.36465437182315,241.66715147910895,245.70510044236448,251.80942777048773
2021-04-13,240.46481662238716,236.39239210768446,241.00780655768085,248.74541313561608
2021-04-14,237.51500225168442,231.4990185241448,237.0000237019417,245.97228596608042
2021-04-15,232.856493362379,226.76293964408305,233.563242167047,242.8199277306253
2021-04-16,226.170391103584,219.65020243612867,228.00836894011383,238.34241548641776
2021-04-17,220.18888292749153,212.74000909292675,221.99669465650504,232.69057977103927
2021-04-18,216.13369618851237,207.90050355852335,218.08587428921115,229.21070379683562
2021-04-19,209.76218333667322,201.78971206450376,212.99426628484994,224.8754032023478
2021-04-20,204.16206094846558,195.5388636427299,207.43292889202044,220.06390905349525
2021-04-21,197.69143088621564,189.08547135620358,201.6496551367495,215.0046218786159
2021-04-22,190.67781088867204,181.24012867999582,194.36669489352448,208.93261537997446
2021-04-23,183.62971533968118,173.7804812356038,187.92838566075633,202.6753027923042
2021-04-24,178.47131095439107,168.01444525605638,183.41855258706698,198.58994994580874
2021-04-25,172.97030577659416,162.58670062508486,178.34202763646397,194.07796215015398
2021-04-26,166.842276506851,155.7109828333301,171.6968650950125,188.01888398330522
2021-04-27,159.3804743404935,147.76436822474616,165.03015533390652,180.94493177072897
2021-04-28,152.71807402331848,140.6947254561008,158.8870430104052,174.82983083277855
2021-04-29,145.73677485525664,133.50226353542473,152.41425822618982,168.20621551098156
2021-04-30,139.1648728606305,126.67179490494448,145.2110226956865,161.61923046259727
2021-05-01,133.64016574121362,120.8734380959153,139.4773075456209,156.21303305128026
2021-05-02,128.27059860330925,115.10309267243704,133.92674376261863,150.67108815613977
2021-05-03,120.80017754909,108.13472183616788,127.4625778662651,143.2803918146422
2021-05-04,114.75402771403397,102.47211251096216,121.8430629803684,137.49711805937125
2021-05-05,108.68417593735799,96.70823125338026,115.82707925282867,131.44019461448795
2021-05-06,102.12735699649001,90.7331872431841,109.61932527036379,125.32724839850293
2021-05-07,97.54426337597532,85.79456449836997,104.90048416602568,119.64740129757361
2021-05-08,93.01934724852785,81.59285666574017,100.34971137499278,115.13325877995335
2021-05-09,88.70343915172911,77.63032297127542,96.35916629497719,110.90353956177269
2021-05-10,84.02984720866547,72.73910410970123,91.10810886517264,105.26678690015235
2021-05-11,79.0050355852333,68.1409274354284,85.61572257523754,99.3456109390925
2021-05-12,74.09442422597004,63.15274608540891,80.60168456163265,93.61189578902689
2021-05-13,69.36480951180468,59.03076296550078,76.21467063997403,87.39767764066568
2021-05-14,64.45204343057598,54.87861373807634,71.56262591656491,82.0324199466922
2021-05-15,60.950620236717796,51.704708282966735,68.13877271346296,78.19486012622365
2021-05-16,57.910307543466175,48.88417723019113,65.11569779593496,74.69559165433091
2021-05-17,54.16324604554656,45.671486779703415,61.49361017201151,70.17283024884885
2021-05-18,50.498063982314086,42.16359941994888,57.552623697201284,65.6910085607104
2021-05-19,46.91691607573421,39.37969864058594,54.09429494265212,61.7133918124875
2021-05-20,44.12008696457856,36.585024251395744,51.017351975987836,58.60628273830689
2021-05-21,41.07331010543059,34.14372426453955,47.985658170598015,55.36773562423376
2021-05-22,38.996158130735644,32.264806710666114,45.68010566756524,52.71527288476334
2021-05-23,36.740164232908256,30.450530815756213,43.320685115396195,50.011096818122105
2021-05-24,33.7537195887929,28.02862332658908,39.99379440073956,46.14768033406812
2021-05-25,31.258551552800423,26.194954933990118,37.66669467805228,43.39825510615241
2021-05-26,28.94868960583675,24.335429877805744,35.2771080183669,40.650984600202136
2021-05-27,27.093473993583274,22.846516999678972,32.71083415751455,38.280790438205834
2021-05-28,25.03571451657739,21.053788324423582,30.452685537721692,35.45594994149933
2021-05-29,23.464922203763475,19.732943759602,28.735372131257094,33.69554209572571
2021-05-30,22.126839863218287,18.49397862946757,27.151651486650472,31.943753137813893
2021-05-31,20.756436693191333,17.317500436331223,25.412790860531366,30.493625255065247
