date,combined_baseline
2021-03-20,223.5330114178716
2021-03-21,225.2373964925435
2021-03-22,227.37057123834015
2021-03-23,229.19777546504278
2021-03-24,230.6306655720678
2021-03-25,231.67139628138074
2021-03-26,233.39948329767267
2021-03-27,234.6793881451506
2021-03-28,235.92697216314681
2021-03-29,237.32969616265558
2021-03-30,238.32302298872855
2021-03-31,239.11811539398005
2021-04-01,239.41331230324687
2021-04-02,237.90500692743103
2021-04-03,238.73026544019885
2021-04-04,239.39822924948876
2021-04-05,236.74145706608743
2021-04-06,236.691898460882
2021-04-07,236.09504047645206
2021-04-08,235.70503580070536
2021-04-09,236.9009064915308
2021-04-10,235.75459440591075
2021-04-11,233.19693943292023
2021-04-12,230.81597166109663
2021-04-13,225.8902772480752
2021-04-14,221.69072413741088
2021-04-15,216.29099089199016
