date,spring_baseline,spring_no_effects,spring_without_rapid_tests_without_seasonality,spring_without_rapid_tests_and_no_vaccinations,spring_without_vaccinations_without_seasonality
2021-03-10,215.7120889239391,373.8298961926781,336.48712805009876,250.15172833840055,309.2298951871413
2021-03-11,218.18140029634614,390.14257795245396,348.3553366358039,255.61466676147444,319.081284013184
2021-03-12,220.98828477667385,406.74255597428987,360.9690790215551,262.21529838230657,328.8766500681251
2021-03-13,224.2088758743683,420.7137731982754,372.3891054384464,266.8264033883721,337.71962901433676
2021-03-14,226.96691999014578,434.9866514974241,383.79476704223475,271.41596117478315,347.0639399378435
2021-03-15,230.2981201487333,456.5870209604171,401.4491223458314,278.4461007073952,360.37724872171117
2021-03-16,233.16390036278338,477.80528639487005,418.567670120686,286.3797869841864,372.6505450369213
2021-03-17,236.1632733386914,500.93407197202316,436.1631296905604,293.9974473727116,385.5214175772163
2021-03-18,239.42121295045362,525.1761305646593,455.07009669673954,302.39511711272996,399.47683350678847
2021-03-19,242.9879960439305,551.0414130379354,475.27851577005094,310.37620727276123,414.2438613766806
2021-03-20,244.17022016230803,572.3803429024535,491.6788228897551,317.09175739841737,426.4022391870665
2021-03-21,246.37809193624037,594.6429302494954,508.7700775197138,324.30863950136865,438.2330992587039
2021-03-22,248.68220795796285,624.7874905461574,531.7868175546637,334.34389793512986,453.7858824053305
2021-03-23,250.92599176465265,658.4586124596079,556.5072244236297,344.5630259766098,470.0454143566252
2021-03-24,253.05773002913904,691.1572365259849,580.3599965811746,354.46612812982335,485.5278099190471
2021-03-25,254.97974202232152,727.6654090272793,607.4405422429651,365.66637290623873,501.94248185185427
2021-03-26,256.2711387202819,765.7709487456286,634.6762278862681,376.8809824957569,518.0813493730836
2021-03-27,257.3585550721796,797.6924364231329,658.5979511467071,385.4510299930115,530.8215021141413
2021-03-28,257.6530337407913,830.6697378637081,682.3386777620482,394.33997634115275,544.3574655011057
2021-03-29,258.3985675408374,880.7914437427232,716.3761024096257,407.1648814795183,562.4628759361368
2021-03-30,258.98034247150923,928.6822941468415,749.5344004952988,420.24691677242765,579.7380001738143
2021-03-31,258.9185737751663,978.5224496890379,785.0269807102106,432.9310467423836,598.0014235529785
2021-04-01,258.563762891522,1032.995257456954,822.8955010123603,445.36235600172677,616.1786580535247
2021-04-02,255.8631780281565,1079.7067567053155,852.6479019113101,454.78280043467925,630.5104320863958
2021-04-03,256.324288528763,1130.819634688438,886.3736101145524,467.1968719182987,648.7681095403187
2021-04-04,256.84716772571255,1185.905819975853,923.054160373083,479.1527058639322,667.9566268833169
2021-04-05,252.69142729501237,1237.3519616229653,955.8001883226999,488.5271828949552,680.4339035445896
2021-04-06,251.21185154540254,1305.6121170071488,1000.9243757231785,502.2714360719131,700.5791174402476
2021-04-07,248.9034260797492,1372.8480612170872,1044.3808083223983,516.6376856562314,718.1171177577102
2021-04-08,246.40969452506704,1444.6893645078505,1089.338363890882,530.7697887869706,736.5629742632826
2021-04-09,246.00747975818277,1526.9681409992595,1144.076920701204,548.5620462963561,760.7734302670922
2021-04-10,243.90447111990244,1592.8121348195173,1186.8237315331348,559.6085875725694,776.7040079983279
2021-04-11,240.04177287650364,1649.7887295112876,1222.3766439630792,568.1915634016167,786.9705399230479
2021-04-12,237.28229227941577,1738.383714324089,1279.4221897577445,585.3546420970905,804.4180419179611
2021-04-13,231.5521683326259,1814.5603182093398,1327.333150900207,596.804834621498,814.5797107070288
2021-04-14,227.50847344412924,1890.30310473888,1373.424090222518,606.976558779738,828.257885743713
2021-04-15,221.84011819368226,1972.4755816133265,1423.4423694471918,619.2383632444654,838.2356849250626
2021-04-16,215.88590316248548,2053.1900299578174,1472.2396395581097,630.6914287314937,846.004175851169
2021-04-17,210.07102681838785,2116.6408459151144,1507.0484546693183,637.7747180725869,848.5036533310924
2021-04-18,205.85926361658596,2186.672182754898,1547.6276152040055,646.2557037286027,855.1703630921986
2021-04-19,199.3189642107864,2280.796184131047,1602.7109275287996,659.255859586825,860.6878878050636
2021-04-20,193.76983690909447,2372.7726459482965,1656.5114620434947,671.6368920003075,869.6256745177554
2021-04-21,187.16920528826233,2462.4205715615485,1707.9935157233647,682.9506188002365,871.8278003664465
2021-04-22,180.00403651248197,2555.9197035677175,1760.0975658105954,694.0962772868602,872.1969760631936
2021-04-23,171.97410598790057,2649.958952546558,1812.6110130712616,704.6802715811565,867.6117277207137
2021-04-24,166.88608918681513,2727.063523358263,1856.4739698812962,712.3280980771979,868.4851083573766
2021-04-25,161.2996133710554,2805.7137480598526,1899.0124909232334,719.8279669982785,866.5788976586074
2021-04-26,154.2163240299622,2903.4634282632014,1952.6837421200023,730.084443553826,863.6973161501439
2021-04-27,145.9019702059412,3000.704594082703,2004.9113295999184,740.4802587964728,852.1566253031873
2021-04-28,138.54862237851145,3092.6508897924355,2052.832346111553,749.1623518359307,845.6120164534569
2021-04-29,131.15648955570356,3188.2286102546086,2104.2210285062533,758.0426792962104,835.0768625237109
2021-04-30,124.24845093446703,3276.8925461703047,2150.615065385038,766.5753782793971,825.8575254742005
2021-05-01,118.43788403430034,3357.2363823367386,2188.6028136359423,772.816889572654,818.0818521415424
2021-05-02,112.78820304088734,3435.7185387250224,2224.9457907865526,778.5283392624101,807.984825011438
2021-05-03,105.74369869517227,3533.6348507603648,2277.1891795608817,788.5018289998284,791.2699284847781
2021-05-04,99.91876698190254,3627.6927739962407,2325.3213588251306,796.3981667625518,783.6134831008749
2021-05-05,93.8639982589847,3719.496858056254,2372.7554081725734,805.5298784521342,771.4005190006974
2021-05-06,87.74889732103422,3809.242464398607,2417.9284359376024,814.5107596041346,754.2417497491546
2021-05-07,82.94386733807805,3898.5154683898695,2464.2736324518364,823.5993768544079,744.6848395917235
2021-05-08,78.88868059909893,3966.269982352827,2494.255870360435,829.0852989784465,733.2174092915922
2021-05-09,75.14377382314476,4032.1944191264615,2523.1032880338958,834.6689018315857,721.0504125933444
2021-05-10,70.48095548990841,4100.997564445938,2554.4760398508647,841.7608100605404,707.140964065702
2021-05-11,65.69890920791705,4170.8766342668305,2585.7410555695615,849.1845454721749,693.1769292482679
2021-05-12,61.12802567853994,4227.008577948144,2608.56243414631,855.7090435835613,677.76204830743
